Class,Df,Sum.Sq,F.value,R2,Pr..F.,Metric
Window,5,7.709,4.311,0.223,0.001,Dice-Sorensen
Residual,75,26.823,NA,0.777,NA,Dice-Sorensen
Total,80,34.532,NA,1,NA,Dice-Sorensen
Window,5,4.686,3.429,0.186,0.001,Unifrac Unweighted
Residual,75,20.503,NA,0.814,NA,Unifrac Unweighted
Total,80,25.189,NA,1,NA,Unifrac Unweighted
