Site,collected2015,evaluated2015,collected2016,evaluated2016
ALS,..,..,150,43
BRN,144,11,264,49
CHI,..,..,240,46
CNA,..,..,122,38
CNB,..,..,194,38
COR,71,20,73,24
EPS,..,..,240,42
FOX,94,16,337,82
GIL,23,5,48,16
GRN,48,2,..,..
HOL,..,..,264,80
HOP,191,28,335,58
MAP,140,16,252,73
MAS,82,12,188,4
MTV,..,..,203,68
PEN,..,..,118,39
ROL,..,..,24,..
SWZ,139,45,..,..
WLD,131,23,..,..
WLT,105,21,..,..
