Order,Family,Genus,Species
Coleoptera,Chrysomelidae,Chrysolina,NA
Coleoptera,Chrysomelidae,Chrysomela,mexicana
Coleoptera,Chrysomelidae,Chrysomela,populi
Coleoptera,Chrysomelidae,Chrysomela,NA
Hemiptera,Diaspididae,Chrysomphalus,pinnulifer
Hemiptera,Diaspididae,Chrysomphalus,propsimus
Hemiptera,Diaspididae,Chrysomphalus,NA
Coleoptera,Cerambycidae,Chrysoprasis,NA
Coleoptera,Cerambycidae,Chydarteres,NA
Hemiptera,Cicadidae,Cicada,orni
Hemiptera,Cicadellidae,Cicadella,NA
Hemiptera,Cicadellidae,Cicadella,viridis
Hemiptera,Cicadidae,NA,NA
Hemiptera,Cicadellidae,Cicadulina,bipunctata
Hemiptera,Cicadellidae,Cicadulina,NA
Hemiptera,Cicadellidae,Cicadulina,tortilla
Hemiptera,Aphididae,Cinara,NA
Coleoptera,Curculionidae,Cionopsis,NA
Lepidoptera,Noctuidae,Cirphis,leucosticha
Coleoptera,Meloidae,Cissites,NA
Hemiptera,Rhyparochromidae,Cistalia,neotropicalis
Hemiptera,Rhyparochromidae,Cistalia,NA
Lepidoptera,Erebidae,Cisthene,NA
Hemiptera,Cixiidae,NA,NA
Hemiptera,Cixiidae,Cixius,NA
Hymenoptera,Tenthredinidae,NA,NA
Hymenoptera,Tenthredinidae,Cladius,pectinicornis
Hymenoptera,Tenthredinidae,Cladius,NA
Hemiptera,Membracidae,Cladonota,NA
Coleoptera,Curculionidae,Claeoteges,NA
Coleoptera,Curculionidae,Claeoteges,virosus
Hemiptera,Clastopteridae,Clastoptera,biguttata
Hemiptera,Clastopteridae,Clastoptera,funesta
Hemiptera,Clastopteridae,Clastoptera,NA
Hemiptera,Clastopteridae,NA,NA
Hemiptera,Diaspididae,Clavaspidiotus,apicalis
Hemiptera,Diaspididae,Clavaspis,NA
Hemiptera,Diaspididae,Clavaspis,subsimilis
Lepidoptera,Tortricidae,Clavigesta,NA
Hemiptera,Coreidae,Clavigralla,tomentosicollis
Coleoptera,Scarabaeidae,Clavipalpus,NA
Coleoptera,Curculionidae,Cleistolophus,similis
Coleoptera,Curculionidae,Cleistolophus,NA
Coleoptera,Curculionidae,Cleistolophus,subfasciatus
Coleoptera,Curculionidae,Cleogonus,armatus
Coleoptera,Curculionidae,Cleogonus,distinctus
Coleoptera,Curculionidae,Cleogonus,fratellus
Coleoptera,Curculionidae,Cleogonus,rubetra
Coleoptera,Curculionidae,Cleogonus,NA
Coleoptera,Curculionidae,Cleonidius,NA
Coleoptera,Curculionidae,Cleonus,NA
Coleoptera,Curculionidae,Cleopomiarus,NA
Lepidoptera,Tortricidae,Clepsis,NA
Lepidoptera,Tortricidae,Clepsis,spectrana
Hemiptera,Rhyparochromidae,Clerada,NA
Hemiptera,Coreidae,Cletus,binotulatus
Hemiptera,Coreidae,Cletus,bipunctatus
Hemiptera,Rhyparochromidae,Cligenes,NA
Hemiptera,Cicadellidae,Clinonaria,NA
Hemiptera,Miridae,Closterotomus,NA
Coleoptera,Cerambycidae,Clytobius,davidis
Coleoptera,Chrysomelidae,Clytra,NA
Coleoptera,Cerambycidae,Clytus,rhamni
Coleoptera,Cerambycidae,Clytus,NA
Lepidoptera,Crambidae,Cnaphalocrocis,medinalis
Hemiptera,Tingidae,Cnemiandrus,typicus
Hemiptera,Rhyparochromidae,Cnemodus,NA
Lepidoptera,Tortricidae,Cnephasia,NA
Coleoptera,Curculionidae,Cnestus,mutilatus
Hemiptera,Coccidae,NA,NA
Hemiptera,Pseudococcidae,Coccidohystrix,insolita
Coleoptera,Bostrichidae,Coccographis,nigrorubra
Coleoptera,Curculionidae,Coccotrypes,NA
Hemiptera,Coccidae,Coccus,capparidis
Hemiptera,Coccidae,Coccus,celatus
Hemiptera,Coccidae,Coccus,formicarii
Hemiptera,Coccidae,Coccus,gymnospori
Hemiptera,Coccidae,Coccus,moestus
Hemiptera,Coccidae,Coccus,psidii
Hemiptera,Coccidae,Coccus,NA
Hemiptera,Aleyrodidae,Cochicaleyrodes,obscura
Hemiptera,Aleyrodidae,Cochicaleyrodes,padminiae
Hemiptera,Tingidae,Cochlochila,bullita
Hemiptera,Aleyrodidae,Cockerelliella,indica
Hemiptera,Aleyrodidae,Cockerelliella,meghalayensis
Hemiptera,Aleyrodidae,Cockerelliella,rhodamniae
Hemiptera,Aleyrodidae,Cockerelliella,NA
Hemiptera,Pentatomidae,Codophila,varia
Coleoptera,Apionidae,Coelocephalapion,ignotum
Coleoptera,Apionidae,Coelocephalapion,psichion
Coleoptera,Apionidae,Coelocephalapion,NA
Coleoptera,Curculionidae,Coelonertus,nigrirostris
Coleoptera,Curculionidae,Coelonertus,NA
Coleoptera,Curculionidae,Coelositona,cambricus
Coleoptera,Curculionidae,Coelositona,limosus
Coleoptera,Curculionidae,Coelosternus,NA
Hemiptera,Pentatomidae,Coenomorpha,NA
Hemiptera,Aleyrodidae,Cohicaleyrodes,obscura
Hemiptera,Aleyrodidae,Cohicaleyrodes,padminiae
Hemiptera,Aleyrodidae,Cohicaleyrodes,NA
Coleoptera,Chrysomelidae,Colaspis,NA
Coleoptera,Curculionidae,Colecerus,NA
Lepidoptera,Coleophoridae,Coleophora,NA
Lepidoptera,Coleophoridae,NA,NA
Coleoptera,NA,NA,NA
Lepidoptera,Gelechiidae,Coleotechnites,NA
Coleoptera,Cerambycidae,Coleoxestia,corvina
Coleoptera,Cerambycidae,Coleoxestia,NA
Lepidoptera,Pieridae,Colias,NA
Hemiptera,Cicadellidae,Colladonus,NA
Hemiptera,Miridae,Collaria,NA
Hemiptera,Halimococcidae,Colobopyga,NA
Coleoptera,Cerambycidae,Colobothea,NA
Diptera,Cecidomyiidae,Colomyia,NA
Hemiptera,Delphacidae,Columbiana,NA
Hemiptera,Delphacidae,Columbisoga,NA
Lepidoptera,Cossidae,Comadia,NA
Hemiptera,Alydidae,Compotus,lateralis
Coleoptera,Cerambycidae,Compsibidion,NA
Coleoptera,Cerambycidae,Compsibidion,vanum
Coleoptera,Curculionidae,Compsus,NA
Coleoptera,Curculionidae,Compsus,viridivittatus
Hemiptera,Conchaspididae,NA,NA
Hemiptera,Conchaspididae,Conchaspis,capensis
Hemiptera,Conchaspididae,Conchaspis,NA
Coleoptera,Chrysomelidae,Conchyloctenia,punctata
Lepidoptera,Noctuidae,Condica,NA
Coleoptera,Curculionidae,Coniatus,NA
Coleoptera,Curculionidae,Coniatus,splendidulus
Coleoptera,Tenebrionidae,Conibius,brunnipes
Coleoptera,Chrysomelidae,Conicobruchus,NA
Coleoptera,Curculionidae,Coniocleonus,excoriatus
Coleoptera,Elateridae,Conoderus,angusticollis
Coleoptera,Elateridae,Conoderus,bifoveatus
Coleoptera,Elateridae,Conoderus,chilensis
Coleoptera,Elateridae,Conoderus,exclamationis
Coleoptera,Elateridae,Conoderus,geminatus
Coleoptera,Elateridae,Conoderus,nocturnus
Coleoptera,Elateridae,Conoderus,parallelus
Coleoptera,Elateridae,Conoderus,pictus
Coleoptera,Elateridae,Conoderus,pilatei
Coleoptera,Elateridae,Conoderus,rodriguezi
Coleoptera,Elateridae,Conoderus,rufangulus
Coleoptera,Elateridae,Conoderus,rugicollis
Coleoptera,Elateridae,Conoderus,semimarginatus
Coleoptera,Elateridae,Conoderus,sexpustulatus
Coleoptera,Elateridae,Conoderus,sinaloae
Coleoptera,Elateridae,Conoderus,NA
Coleoptera,Elateridae,Conoderus,tumidicollis
Coleoptera,Elateridae,Conoderus,varians
Lepidoptera,Crambidae,Conogethes,punctiferalis
Lepidoptera,Crambidae,Conogethes,NA
Lepidoptera,Gracillariidae,Conopomorpha,cramerella
Lepidoptera,Gracillariidae,Conopomorpha,litchiella
Lepidoptera,Gracillariidae,Conopomorpha,NA
Coleoptera,Curculionidae,Conorhynchus,mendicus
Hemiptera,Miridae,Conostethus,venustus
Coleoptera,Curculionidae,Conotrachelus,aguacatae
Coleoptera,Curculionidae,Conotrachelus,lobatus
Coleoptera,Curculionidae,Conotrachelus,parvicollis
Coleoptera,Curculionidae,Conotrachelus,perseae
Coleoptera,Curculionidae,Conotrachelus,NA
Diptera,Cecidomyiidae,Contarinia,lycopersici
Diptera,Cecidomyiidae,Contarinia,maculipennis
Diptera,Cecidomyiidae,Contarinia,solani
Diptera,Cecidomyiidae,Contarinia,NA
Coleoptera,Curculionidae,Cophes,NA
Coleoptera,Curculionidae,Cophes,yucatanus
Lepidoptera,Noctuidae,Copitarsia,consueta
Lepidoptera,Noctuidae,Copitarsia,corruda
Lepidoptera,Noctuidae,Copitarsia,decolora
Lepidoptera,Noctuidae,Copitarsia,incommoda
Lepidoptera,Noctuidae,Copitarsia,NA
Coleoptera,Chrysomelidae,Coptocycla,dorsoplagiata
Coleoptera,Chrysomelidae,Coptocycla,sordida
Coleoptera,Chrysomelidae,Coptocycla,NA
Coleoptera,Cerambycidae,Coptops,NA
Coleoptera,Curculionidae,Coptorhynchus,NA
Coleoptera,Brentidae,Coptorrhynchus,NA
Hemiptera,Plataspidae,Coptosoma,cribraria
Hemiptera,Plataspidae,Coptosoma,NA
Hemiptera,Plataspidae,Coptosoma,xanthogramma
Coleoptera,Curculionidae,Copturus,aguacatae
Coleoptera,Curculionidae,Copturus,NA
Diptera,Cecidomyiidae,Coquillettomyia,NA
Coleoptera,Buprestidae,Coraebus,NA
Coleoptera,Chrysomelidae,Coraia,NA
Coleoptera,Cerambycidae,Cordylomera,NA
Coleoptera,Cerambycidae,Cordylomera,spinicornis
Hemiptera,Coreidae,NA,NA
Hemiptera,Coreidae,Coreus,marginatus
Hemiptera,Miridae,Coridromius,NA
Hemiptera,Thyreocoridae,Corimelaena,NA
Hemiptera,Coreidae,Coriomeris,denticulatus
Hemiptera,Coreidae,Coriomeris,NA
Hemiptera,Rhopalidae,Corizus,hyoscyami
Lepidoptera,Noctuidae,Cornutiplusia,circumflexa
Coleoptera,Curculionidae,Corthylus,NA
Hemiptera,Tingidae,Corythaica,caestri
Hemiptera,Tingidae,Corythaica,cyathicollis
Hemiptera,Tingidae,Corythaica,NA
Hemiptera,Tingidae,Corythauma,ayyari
Hemiptera,Tingidae,Corythucha,fuscomaculata
Hemiptera,Tingidae,Corythucha,globigera
Hemiptera,Tingidae,Corythucha,NA
Hemiptera,Tingidae,Corythucha,unifasciata
Coleoptera,Elateridae,Cosmesus,NA
Coleoptera,Chrysomelidae,Cosmogramma,NA
Hemiptera,Pentatomidae,Cosmopepla,cruciaria
Hemiptera,Pentatomidae,Cosmopepla,NA
Lepidoptera,Cosmopterigidae,NA,NA
Lepidoptera,Cosmopterigidae,Cosmopterix,NA
Lepidoptera,Erebidae,Cosmosoma,auge
Lepidoptera,Erebidae,Cosmosoma,caecum
Lepidoptera,Erebidae,Cosmosoma,cingulatum
Lepidoptera,Erebidae,Cosmosoma,ruatana
Lepidoptera,Erebidae,Cosmosoma,sectinota
Lepidoptera,Erebidae,Cosmosoma,NA
Lepidoptera,Erebidae,Cosmosoma,teuthras
Lepidoptera,Cossidae,NA,NA
Coleoptera,Curculionidae,Cossonus,NA
Coleoptera,Scarabaeidae,Costelytra,zealandica
Coleoptera,Scarabaeidae,Cotinis,NA
Lepidoptera,Erebidae,Crambidia,NA
Lepidoptera,Crambidae,Crambus,NA
Hemiptera,Aphalaridae,Craspedolepta,NA
Hemiptera,Lygaeidae,Craspeduchus,NA
Hymenoptera,Formicidae,Crematogaster,NA
Hymenoptera,Formicidae,Crematogaster,steinheili
Hemiptera,Aleyrodidae,Crenidorsum,commune
Hemiptera,Aleyrodidae,Crenidorsum,NA
Hemiptera,Diaspididae,Crenulaspidiotus,NA
Hemiptera,Diaspididae,Crenulaspidiotus,truncus
Hemiptera,Miridae,Creontiades,pacificus
Hemiptera,Miridae,Creontiades,NA
Coleoptera,Chrysomelidae,Crepidodera,NA
Lepidoptera,Saturniidae,Cricula,trifenestrata
Coleoptera,Chrysomelidae,Crioceris,paracenthesis
Coleoptera,Chrysomelidae,Crioceris,NA
Hemiptera,Pseudococcidae,Crisicoccus,azaleae
Hemiptera,Pseudococcidae,Crisicoccus,echinodes
Hemiptera,Pseudococcidae,Crisicoccus,matsumotoi
Hemiptera,Pseudococcidae,Crisicoccus,pilosus
Hemiptera,Pseudococcidae,Crisicoccus,NA
Hemiptera,Pseudococcidae,Crisicoccus,theobromae
Lepidoptera,Crambidae,Crocidolomia,pavonana
Lepidoptera,Tortricidae,Crocidosema,aporema
Lepidoptera,Tortricidae,Crocidosema,NA
Hemiptera,Cydnidae,Crocistethus,waltlianus
Lepidoptera,Tortricidae,Croesia,NA
Hemiptera,Lygaeidae,Crompus,opacus
Hemiptera,Oxycarenidae,Crophius,costatus
Hemiptera,Oxycarenidae,Crophius,NA
Coleoptera,Curculionidae,Cryphalus,NA
Hemiptera,Rhyparochromidae,Cryphula,affinis
Hemiptera,Rhyparochromidae,Cryphula,dubia
Hemiptera,Rhyparochromidae,Cryphula,fasciata
Hemiptera,Rhyparochromidae,Cryphula,NA
Lepidoptera,Tortricidae,Cryptaspasma,perseana
Hemiptera,Margarodidae,Crypticerya,genistae
Hemiptera,Margarodidae,Crypticerya,rosae
Hemiptera,Margarodidae,Crypticerya,NA
Coleoptera,Tenebrionidae,Crypticus,NA
Hemiptera,Coccidae,Cryptinglisia,lounsburyi
Hemiptera,Coccidae,Cryptinglisia,NA
Hemiptera,Coccidae,Cryptinglisia,ziziphi
Lepidoptera,Pyralidae,Cryptoblabes,gnidiella
Lepidoptera,Pyralidae,Cryptoblabes,NA
Coleoptera,Curculionidae,Cryptocarenus,NA
Coleoptera,Chrysomelidae,Cryptocephalus,NA
Hemiptera,Aphididae,Cryptomyzus,NA
Lepidoptera,Tortricidae,Cryptophlebia,illepida
Lepidoptera,Tortricidae,Cryptophlebia,leucotreta
Lepidoptera,Tortricidae,Cryptophlebia,ombrodelta
Lepidoptera,Tortricidae,Cryptophlebia,NA
Coleoptera,Curculionidae,Cryptorhynchus,NA
Hemiptera,Coccidae,Cryptostigma,rhizophilum
Hemiptera,Coccidae,Cryptostigma,NA
Lepidoptera,Psychidae,Cryptothelea,NA
Coleoptera,Curculionidae,Crypturgus,NA
Hemiptera,Aphalaridae,Ctenarytaina,peregrina
Hemiptera,Aphalaridae,Ctenarytaina,NA
Hemiptera,Aphalaridae,Ctenarytaina,spatulata
Coleoptera,Elateridae,Ctenicera,NA
Lepidoptera,Tortricidae,Ctenopseustis,obliquana
Hemiptera,Cicadellidae,Cuerna,angusta
Hemiptera,Cicadellidae,Cuerna,costalis
Hemiptera,Cicadellidae,Cuerna,NA
Hemiptera,Cicadellidae,Cuitlana,verticalis
Coleoptera,Curculionidae,Curculio,elephas
Coleoptera,Curculionidae,Curculio,nucum
Coleoptera,Curculionidae,Curculio,NA
Coleoptera,Cerambycidae,Curius,NA
Hemiptera,Cicadellidae,Curtara,insularis
Hemiptera,Cicadellidae,Curtara,NA
Hemiptera,Pentatomidae,Cuspicona,simplex
Hemiptera,Pentatomidae,Cuspicona,NA
Coleoptera,Curculionidae,Cyclas,NA
Coleoptera,Scarabaeidae,Cyclocephala,amazona
Coleoptera,Scarabaeidae,Cyclocephala,ampliata
Coleoptera,Scarabaeidae,Cyclocephala,discolor
Coleoptera,Scarabaeidae,Cyclocephala,freudei
Coleoptera,Scarabaeidae,Cyclocephala,lunulata
Coleoptera,Scarabaeidae,Cyclocephala,lurida
Coleoptera,Scarabaeidae,Cyclocephala,mafaffa
Coleoptera,Scarabaeidae,Cyclocephala,metrica
Coleoptera,Scarabaeidae,Cyclocephala,multiplex
Coleoptera,Scarabaeidae,Cyclocephala,ovulum
Coleoptera,Scarabaeidae,Cyclocephala,NA
Lepidoptera,Crambidae,Cydalima,perspectalis
Hemiptera,Alydidae,Cydamus,inauratus
Lepidoptera,Tortricidae,Cydia,araucariae
Lepidoptera,Tortricidae,Cydia,fagiglandana
Lepidoptera,Tortricidae,Cydia,glandicolana
Lepidoptera,Tortricidae,Cydia,kurokoi
Lepidoptera,Tortricidae,Cydia,NA
Lepidoptera,Tortricidae,Cydia,splendana
Lepidoptera,Tortricidae,Cydia,strobiliella
Hemiptera,Cydnidae,NA,NA
Hemiptera,Cydnidae,Cydnus,varians
Coleoptera,Brentidae,Cylas,puncticollis
Coleoptera,Brentidae,Cylas,punctipennis
Coleoptera,Brentidae,Cylas,NA
Coleoptera,Curculionidae,Cylindrocopturus,biradiatus
Coleoptera,Curculionidae,Cylindrocopturus,NA
Coleoptera,Tenebrionidae,Cylindronotus,NA
Hemiptera,Cymidae,NA,NA
Hemiptera,Cymidae,Cymodema,NA
Hemiptera,Ninidae,Cymoninus,sechellensis
Hemiptera,Ninidae,Cymoninus,NA
Hemiptera,Cymidae,Cymus,NA
Hymenoptera,Cynipidae,NA,NA
Hemiptera,Acanthosomatidae,Cyphostethus,tristriatus
Hemiptera,Pentatomidae,Cyptocephala,NA
Hemiptera,Fulgoridae,Cyrpoptus,NA
Coleoptera,Cerambycidae,Cyrtinus,NA
Coleoptera,Erirhinidae,Cyrtobagous,singularis
Hemiptera,Miridae,Cyrtocapsus,columbiensis
Hemiptera,Miridae,Cyrtocapsus,femoralis
Hemiptera,Miridae,Cyrtocapsus,NA
Hemiptera,Cicadellidae,Cyrtodisca,major
Coleoptera,Curculionidae,Cyrtogenius,luteus
Coleoptera,Curculionidae,Cyrtogenius,NA
Hemiptera,Cydnidae,Cyrtomenus,bergi
Hemiptera,Cydnidae,Cyrtomenus,emarginatus
Hemiptera,Cydnidae,Cyrtomenus,NA
Coleoptera,Chrysomelidae,Cyrtonota,tristigma
Hemiptera,Miridae,Cyrtopeltis,NA
Hemiptera,Miridae,Cyrtorhinus,lividipennis
Hemiptera,Miridae,Cyrtorhinus,NA
Hemiptera,Tingidae,Cysteochila,incolana
Hemiptera,Tingidae,Cysteochila,seydeli
Hemiptera,Tingidae,Cysteochila,NA
Hemiptera,Diaspididae,Dactylaspis,crotonis
Hemiptera,Dactylopiidae,NA,NA
Hemiptera,Dactylopiidae,Dactylopius,austrinus
Hemiptera,Dactylopiidae,Dactylopius,bassi
Hemiptera,Dactylopiidae,Dactylopius,coccus
Hemiptera,Dactylopiidae,Dactylopius,confertus
Hemiptera,Dactylopiidae,Dactylopius,salmianus
Hemiptera,Dactylopiidae,Dactylopius,NA
Hemiptera,Dactylopiidae,Dactylopius,zimmermanni
Coleoptera,Curculionidae,Dactylotrypes,longicollis
Hemiptera,Aphididae,Dactynotus,NA
Diptera,Tephritidae,Dacus,ciliatus
Diptera,Tephritidae,Dacus,cucurbitae
Diptera,Tephritidae,Dacus,NA
Hemiptera,Miridae,Dagbertus,semipictus
Hemiptera,Miridae,Dagbertus,NA
Coleoptera,Chrysomelidae,Dahlibruchus,NA
Lepidoptera,Psychidae,Dahlica,NA
Hemiptera,Cicadellidae,Dalbulus,NA
Hemiptera,Cydnidae,Dallasiellus,alutaceus
Hemiptera,Cydnidae,Dallasiellus,bacchinus
Hemiptera,Cydnidae,Dallasiellus,murinus
Hemiptera,Cydnidae,Dallasiellus,orchidiphilus
Hemiptera,Cydnidae,Dallasiellus,reflexus
Hemiptera,Cydnidae,Dallasiellus,NA
Hemiptera,Lygaeidae,Dalmochrimnus,circumplicatus
Hemiptera,Lygaeidae,Dalmochrimnus,guatemalanus
Hemiptera,Lygaeidae,Dalmochrimnus,plagiatus
Hemiptera,Lygaeidae,Dalmochrimnus,NA
Coleoptera,Elateridae,Dalopius,NA
Coleoptera,Coccinellidae,Damatula,NA
Lepidoptera,Noctuidae,Dargida,NA
Lepidoptera,Limacodidae,Darna,pallivitta
Diptera,Cecidomyiidae,Dasineura,jujubifolia
Diptera,Cecidomyiidae,Dasineura,NA
Lepidoptera,Erebidae,Dasychira,NA
Lepidoptera,Pyralidae,Dasycnemia,rufosfascialis
Lepidoptera,Notodontidae,Dasylophia,gorax
Lepidoptera,Notodontidae,Dasylophia,goraxa
Lepidoptera,Notodontidae,Datana,NA
Lepidoptera,Pyralidae,Davara,NA
Coleoptera,Curculionidae,Dealia,NA
Hemiptera,Cicadellidae,Dechacona,missionum
Coleoptera,Cerambycidae,Dectes,NA
Coleoptera,Elateridae,Deilelater,radians
Coleoptera,Elateridae,Deilelater,NA
Diptera,Anthomyiidae,Delia,NA
Hemiptera,Rhyparochromidae,Delochilocoris,NA
Hemiptera,Pseudococcidae,Delottococcus,aberiae
Hemiptera,Pseudococcidae,Delottococcus,confusus
Hemiptera,Pseudococcidae,Delottococcus,elizabethae
Hemiptera,Pseudococcidae,Delottococcus,euphorbiae
Hemiptera,Pseudococcidae,Delottococcus,proteae
Hemiptera,Pseudococcidae,Delottococcus,NA
Coleoptera,Chrysomelidae,Deloyala,NA
Coleoptera,Chrysomelidae,Deloyala,zetterstedti
Hemiptera,Delphacidae,NA,NA
Hemiptera,Delphacidae,Delphacodes,NA
Hemiptera,Aphididae,Delphiniobium,NA
Hemiptera,Cicadellidae,Deltocephalus,NA
Coleoptera,Cerambycidae,Dendrobias,NA
Hemiptera,Pentatomidae,Dendrocoris,NA
Hemiptera,Pentatomidae,Dendrocoris,variegatus
Coleoptera,Curculionidae,Dendrocranulus,NA
Coleoptera,Curculionidae,Dendroctonus,mexicanus
Coleoptera,Curculionidae,Dendroctonus,pseudotsugae
Coleoptera,Curculionidae,Dendroctonus,NA
Lepidoptera,Lasiocampidae,Dendrolimus,pini
Lepidoptera,Lasiocampidae,Dendrolimus,superans
Lepidoptera,Depressariidae,Depressaria,depressana
Lepidoptera,Depressariidae,Depressaria,NA
Lepidoptera,Depressariidae,NA,NA
Hemiptera,Derbidae,NA,NA
Coleoptera,Cerambycidae,Dere,NA
Coleoptera,Curculionidae,Derelomus,NA
Coleoptera,Elateridae,Deromecus,curtus
Coleoptera,Elateridae,Deromecus,NA
Hemiptera,Miridae,Derophthalma,NA
Coleoptera,Curculionidae,Derosomus,NA
Coleoptera,Curculionidae,Desiantha,diversipes
Lepidoptera,Crambidae,Desmia,NA
Coleoptera,Cerambycidae,Desmiphora,hirticollis
Coleoptera,Cerambycidae,Desmiphora,NA
Coleoptera,Chrysomelidae,Deuterocampta,NA
Coleoptera,Chrysomelidae,Diabrotica,biannularis
Coleoptera,Chrysomelidae,Diabrotica,mexicana
Coleoptera,Chrysomelidae,Diabrotica,porracea
Coleoptera,Chrysomelidae,Diabrotica,scutellata
Coleoptera,Chrysomelidae,Diabrotica,sexmaculata
Coleoptera,Chrysomelidae,Diabrotica,NA
Coleoptera,Chrysomelidae,Diabrotica,speciosa
Coleoptera,Chrysomelidae,Diabrotica,undecimpunctata
Coleoptera,Chrysomelidae,Diabrotica,variegata
Coleoptera,Chrysomelidae,Diabrotica,viridula
Coleoptera,Chrysomelidae,Diachus,NA
Hemiptera,Aleyrodidae,Dialeurodes,armatus
Hemiptera,Aleyrodidae,Dialeurodes,NA
Hemiptera,Aleyrodidae,Dialeurodicus,niger
Hemiptera,Aleyrodidae,Dialeurodicus,NA
Hemiptera,Aleyrodidae,Dialeurodicus,tessellatus
Hemiptera,Aleyrodidae,Dialeurolobus,proteae
Hemiptera,Aleyrodidae,Dialeurolonga,elongata
Hemiptera,Aleyrodidae,Dialeurolonga,operculobagta
Hemiptera,Aleyrodidae,Dialeurolonga,NA
Hemiptera,Aleyrodidae,Dialeuropora,decempuncta
Hemiptera,Aleyrodidae,Dialeuropora,papillata
Hemiptera,Aleyrodidae,Dialeuropora,NA
Lepidoptera,Crambidae,Diaphania,indica
Lepidoptera,Crambidae,Diaphania,perspectalis
Lepidoptera,Crambidae,Diaphania,NA
Lepidoptera,Crambidae,Diaphania,indica complex
Hemiptera,Liviidae,Diaphorina,citri
Hemiptera,Liviidae,Diaphorina,NA
Coleoptera,Curculionidae,Diaprepes,abbreviatus
Coleoptera,Curculionidae,Diaprepes,NA
Hemiptera,Diaspididae,NA,NA
Hemiptera,Diaspididae,Diaspidiotus,alni
Hemiptera,Diaspididae,Diaspidiotus,maleti
Hemiptera,Diaspididae,Diaspidiotus,NA
Hemiptera,Diaspididae,Diaspis,gilloglyi
Hemiptera,Diaspididae,Diaspis,NA
Lepidoptera,Crambidae,Diatraea,centrellus
Lepidoptera,Crambidae,Diatraea,considerata
Lepidoptera,Crambidae,Diatraea,lineolata
Lepidoptera,Crambidae,Diatraea,NA
Coleoptera,Chrysomelidae,Dibolia,NA
Coleoptera,Buprestidae,Dicerca,NA
Hemiptera,Cicadidae,Diceroprocta,NA
Lepidoptera,Noctuidae,Dichagyris,NA
Coleoptera,Scarabaeidae,Dichelonyx,NA
Hemiptera,Pentatomidae,Dichelops,furcatus
Lepidoptera,Crambidae,Dichocrocis,NA
Lepidoptera,Gelechiidae,Dichomeris,NA
Hemiptera,Diaspididae,Dichosoma,convexa
Hemiptera,Diaspididae,Diclavaspis,NA
Hemiptera,Stenocephalidae,Dicranocephalus,NA
Hemiptera,Tingidae,Dictyla,alia
Hemiptera,Tingidae,Dictyla,loricata
Hemiptera,Tingidae,Dictyla,monotropidia
Hemiptera,Tingidae,Dictyla,parmata
Hemiptera,Tingidae,Dictyla,salicorum
Hemiptera,Tingidae,Dictyla,NA
Hemiptera,Dictyopharidae,Dictyophara,europaea
Hemiptera,Dictyopharidae,NA,NA
Hemiptera,Pentatomidae,Dictyotus,caenosus
Hemiptera,Pentatomidae,Dictyotus,NA
Hemiptera,Miridae,Dicyphus,annulatus
Hemiptera,Miridae,Dicyphus,NA
Hemiptera,Cicadellidae,Diestostemma,NA
Hemiptera,Rhyparochromidae,Dieuches,armatipes
Hemiptera,Rhyparochromidae,Dieuches,coenosus
Hemiptera,Rhyparochromidae,Dieuches,obscuripes
Hemiptera,Rhyparochromidae,Dieuches,NA
Hemiptera,Cicadellidae,Dikraneura,NA
Hemiptera,Cixiidae,Dilacreon,lobatus
Hemiptera,Blissidae,Dimorphopterus,blissoides
Hemiptera,Blissidae,Dimorphopterus,NA
Hemiptera,Blissidae,Dimorphopterus,spinolae
Hemiptera,Diaspididae,Dinaspis,aculeata
Hemiptera,Diaspididae,Dinaspis,NA
Hemiptera,Pyrrhocoridae,Dindymus,versicolor
Hemiptera,Dinidoridae,NA,NA
Hemiptera,Rhyparochromidae,Diniella,NA
Coleoptera,Bostrichidae,Dinoderopsis,serriger
Coleoptera,Bostrichidae,Dinoderus,japonicus
Coleoptera,Bostrichidae,Dinoderus,porcellus
Coleoptera,Bostrichidae,Dinoderus,sericea
Coleoptera,Curculionidae,Diocalandra,NA
Coleoptera,Curculionidae,Diocalandra,taitensis
Hemiptera,Scutelleridae,Diolcus,NA
Hemiptera,Miridae,Diomocoris,NA
Lepidoptera,Pyralidae,Dioryctria,abietella
Lepidoptera,Pyralidae,Dioryctria,NA
Coleoptera,Curculionidae,Diorymerellus,NA
Diptera,Tephritidae,Dioxyna,NA
Coleoptera,Chrysomelidae,Diphaulaca,aulica
Coleoptera,Chrysomelidae,Diphaulaca,NA
Coleoptera,Scarabaeidae,Diplognatha,NA
Coleoptera,Scarabaeidae,Diplotaxis,NA
Hymenoptera,Diprionidae,NA,NA
Coleoptera,Elateridae,Dipropus,NA
Diptera,Tephritidae,Dirioxa,pornia
Lepidoptera,Saturniidae,Dirphia,NA
Hemiptera,Pentatomidae,Discocephalessa,NA
Hemiptera,Pentatomidae,Disderia,inornata
Coleoptera,Chrysomelidae,Disonycha,NA
Coleoptera,Chrysomelidae,Distigmoptera,NA
Hemiptera,Aphididae,Diuraphis,NA
Lepidoptera,Doidae,NA,NA
Hymenoptera,Tenthredinidae,Dolerus,NA
Hymenoptera,Formicidae,Dolichoderus,bispinosus
Hemiptera,Pentatomidae,Dolycoris,baccarum
Hemiptera,Pentatomidae,Dolycoris,NA
Lepidoptera,Crambidae,Donacaula,NA
Coleoptera,Chrysomelidae,Donacia,NA
